epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1124,1.59993,1.95877,1.13211,0.83109,0.63454,0.73834,0.42051,1.47038,1.6092,1.11278,0.000551257,0.000551257,0.000551257
2,128.797,1.46888,1.12783,1.08738,0.82812,0.68725,0.78764,0.43055,1.47092,1.05221,1.07625,0.00109596,0.00109596,0.00109596
3,183.829,1.44991,1.0412,1.08603,0.80355,0.69207,0.76382,0.4462,1.42573,1.04147,1.10275,0.00162967,0.00162967,0.00162967
4,238.782,1.45251,1.00286,1.09368,0.85723,0.73063,0.81616,0.44377,1.42744,0.92814,1.07984,0.00161749,0.00161749,0.00161749
5,293.747,1.41361,0.93221,1.07599,0.8542,0.75006,0.83309,0.46428,1.42129,0.94334,1.09309,0.00160099,0.00160099,0.00160099
6,349.021,1.40759,0.91453,1.06735,0.79425,0.63551,0.73888,0.42792,1.44238,1.48474,1.10286,0.00158448,0.00158448,0.00158448
7,403.809,1.37375,0.87599,1.05662,0.86259,0.75156,0.85268,0.51324,1.34474,0.84958,1.04926,0.00156798,0.00156798,0.00156798
8,458.651,1.36435,0.8439,1.05378,0.90757,0.75988,0.86392,0.52781,1.3142,0.74529,1.03852,0.00155148,0.00155148,0.00155148
9,513.318,1.35043,0.82952,1.05069,0.90078,0.77604,0.87433,0.52739,1.31291,0.7498,1.04406,0.00153497,0.00153497,0.00153497
10,568.546,1.34197,0.82076,1.0461,0.89353,0.78972,0.87484,0.5347,1.31436,0.72899,1.04496,0.00151847,0.00151847,0.00151847
11,624.016,1.3341,0.80395,1.04739,0.86457,0.75686,0.83601,0.47108,1.45144,0.84248,1.08357,0.00150197,0.00150197,0.00150197
12,678.518,1.33761,0.8088,1.04454,0.89735,0.78565,0.87602,0.52687,1.31803,0.71421,1.03601,0.00148546,0.00148546,0.00148546
13,732.673,1.31765,0.78748,1.03583,0.91467,0.77368,0.87787,0.54391,1.28811,0.70899,1.03254,0.00146896,0.00146896,0.00146896
14,787.743,1.31513,0.7853,1.0357,0.90118,0.78274,0.87651,0.54345,1.29079,0.71352,1.03694,0.00145246,0.00145246,0.00145246
15,842.572,1.31598,0.77558,1.03721,0.89014,0.79392,0.87898,0.55606,1.26515,0.6869,1.02789,0.00143595,0.00143595,0.00143595
16,897.187,1.30111,0.76162,1.03123,0.91016,0.80297,0.88728,0.55625,1.27346,0.67716,1.02741,0.00141945,0.00141945,0.00141945
17,951.55,1.29307,0.7521,1.02569,0.90888,0.79686,0.89068,0.54254,1.31458,0.68429,1.02976,0.00140295,0.00140295,0.00140295
18,1006.09,1.29429,0.74764,1.0271,0.91669,0.80761,0.90037,0.56549,1.24838,0.65247,1.01258,0.00138644,0.00138644,0.00138644
19,1060.3,1.29275,0.74506,1.02515,0.8935,0.8181,0.89257,0.5583,1.26136,0.66603,1.01677,0.00136994,0.00136994,0.00136994
20,1122.26,1.29551,0.74847,1.02923,0.90001,0.82162,0.89954,0.55874,1.26452,0.65341,1.01981,0.00135344,0.00135344,0.00135344
21,1178.34,1.2834,0.73187,1.0218,0.91192,0.82691,0.90203,0.56071,1.25311,0.64676,1.0171,0.00133693,0.00133693,0.00133693
22,1232.99,1.25901,0.7143,1.01442,0.90562,0.82318,0.9,0.55961,1.27147,0.64195,1.0231,0.00132043,0.00132043,0.00132043
23,1287.63,1.26911,0.71046,1.01939,0.90405,0.80674,0.89256,0.56765,1.24615,0.64365,1.01794,0.00130393,0.00130393,0.00130393
24,1342.33,1.2603,0.74521,1.01135,0.91005,0.7965,0.88526,0.56421,1.26153,0.67511,1.02305,0.00128742,0.00128742,0.00128742
25,1397.02,1.26142,0.70174,1.01775,0.91366,0.82343,0.89931,0.56287,1.24132,0.63295,1.00977,0.00127092,0.00127092,0.00127092
26,1451.39,1.26276,0.70102,1.01659,0.91218,0.82958,0.90582,0.56816,1.2554,0.63573,1.01207,0.00125442,0.00125442,0.00125442
27,1506.39,1.2667,0.70943,1.01848,0.90625,0.83542,0.90524,0.57822,1.22922,0.62827,1.0073,0.00123791,0.00123791,0.00123791
28,1561.3,1.25451,0.69675,1.0113,0.90347,0.83843,0.90384,0.56862,1.24009,0.62957,1.01617,0.00122141,0.00122141,0.00122141
29,1623.27,1.25393,0.70021,1.00527,0.9032,0.82991,0.90297,0.57677,1.23599,0.61349,1.00652,0.00120491,0.00120491,0.00120491
30,1681.37,1.24938,0.69383,1.01,0.90986,0.83322,0.90343,0.56296,1.2642,0.66146,1.01894,0.0011884,0.0011884,0.0011884
31,1739.63,1.24235,0.684,1.00666,0.91748,0.82781,0.90893,0.57494,1.22972,0.60689,1.00626,0.0011719,0.0011719,0.0011719
32,1795.22,1.2551,0.68246,1.00912,0.91415,0.82605,0.90229,0.57979,1.23575,0.61985,1.00599,0.0011554,0.0011554,0.0011554
